experiment,prompt_length,max_tokens,n,method,time,time_std,acceptance_rate
prompt_length,64,128,,Normal,3.1620648860931397,0.016133939004399075,
prompt_length,64,128,2.0,Speculative,11.050679302215576,0.002994225702195902,0.7054794520547946
prompt_length,128,128,,Normal,3.179821491241455,0.006976942349208368,
prompt_length,128,128,2.0,Speculative,14.712238836288453,0.005728096126484206,0.7
prompt_length,256,128,,Normal,3.237600898742676,0.008913165113939357,
prompt_length,256,128,2.0,Speculative,22.44938988685608,0.004497867909402046,0.7285714285714285
prompt_length,512,128,,Normal,3.3177348136901856,0.005807938778204468,
prompt_length,512,128,2.0,Speculative,35.70779166221619,0.0028512905190853726,1.0
prompt_length,1024,128,,Normal,3.4994316577911375,0.005008495833639441,
prompt_length,1024,128,2.0,Speculative,64.19325051307678,0.009511173759001368,1.0
max_tokens,256,32,,Normal,0.8752131462097168,0.002101577764221161,
max_tokens,256,32,2.0,Speculative,5.079761505126953,0.0033055023547257038,0.5833333333333334
max_tokens,256,64,,Normal,1.656794261932373,0.0050214070158147404,
max_tokens,256,64,2.0,Speculative,10.03692684173584,0.0021242300472520933,0.6857142857142857
max_tokens,256,128,,Normal,3.222155714035034,0.006789109963050449,
max_tokens,256,128,2.0,Speculative,22.442467164993285,0.00253477315878575,0.7285714285714285
max_tokens,256,256,,Normal,6.351773881912232,0.013579733847544089,
max_tokens,256,256,2.0,Speculative,52.18681883811951,0.0064707232591917786,0.725
max_tokens,256,512,,Normal,12.620556402206422,0.009736250505520906,
max_tokens,256,512,2.0,Speculative,133.177970123291,0.014412979020916742,0.7549194991055456
n_value,256,128,,Normal,3.241619920730591,0.009555654126534563,
n_value,256,128,1.0,Speculative,24.025912523269653,0.0033492118480839,0.7890625
n_value,256,128,2.0,Speculative,22.45500159263611,0.005029286864628655,0.7285714285714285
n_value,256,128,4.0,Speculative,21.99108257293701,0.01367559694031924,0.5964912280701754
n_value,256,128,8.0,Speculative,22.811247873306275,0.002453002710823209,0.4
n_value,256,128,16.0,Speculative,25.42477560043335,0.007807923849029094,0.23556581986143188
n_value,256,128,32.0,Speculative,31.033884906768797,0.013180452420171723,0.12454212454212454
